"","mod","fixed_age","trwl_len","fixed_len","srv_age","srv_idx","tag_recv","jnll"
"1","5-Area-1960-01-Base",4555.03131868503,1895.34822457711,1524.59033172816,5170.70342524593,2602.55994979107,11933.0619786905,26266.1288875297
"2","5-Area-1960-01-Age_2_Move",4573.24531348306,1893.54439272982,1521.63387958351,5170.99970708131,2591.8909531442,29012.1762409842,43349.888230247
"3","5-Area-1960-01-Age_3_Move",4564.38152670238,1894.08215209831,1531.70623240861,5130.50367418517,2545.6340600296,28732.9279100079,42992.2544372864
"4","5-Area-1960-02-NegBin",4544.94332464565,1895.33466385793,1535.22416691054,5105.25125765006,2527.25581038615,15149.993559428,29349.4450755485
"5","5-Area-1960-03-Decadal",4536.77108766535,1897.04612990771,1538.23270748667,5095.00430466954,2514.8271167826,15061.2899840054,29233.5111911992
"6","5-Area-1960-03-FishBlock",4539.30841828185,1899.28402363372,1539.11889256081,5081.03986950932,2508.7500204429,14978.9116490689,29137.8773963068
"7","5-Area-1960-03-Space",4545.44440497259,1895.46130732163,1535.49070327001,5107.49063666174,2528.00455591489,15106.8783857299,29309.5562289583
"8","5-Area-1960-04-SptQ",4503.96760798062,1898.54320259748,1539.537156918,5053.96676089963,2495.65847684289,14968.8960661581,29047.8157763252
