"Key","Value","Var_explained","Rank"
"Lon","179",0.0663654158115906,1
"Lon","177",0.0620757387274918,2
"Lon","175",0.047834799466987,3
"Lon","181",0.0474438650971418,4
"Lon","183",0.0340673877190963,5
"Lon","173",0.0305976796728519,6
"Lon","187",0.0289441949565201,7
"Lon","185",0.027435869875996,8
"Lon","209",0.0249837575402599,9
"Lon","189",0.0242666189912473,10
"Lon","211",0.0240168839033395,11
"Lon","205",0.0232978195741763,12
"Lon","203",0.0230649926215977,13
"Lon","207",0.0225164835754241,14
"Lon","191",0.0211899477881507,15
"Lon","201",0.0210448149402015,16
"Lon","199",0.0195093162243246,17
"Lon","213",0.0184126955089153,18
"Lon","197",0.0179405360413951,19
"Lon","193",0.0176746036565831,20
"Lon","195",0.0172212004992785,21
"Lat","53",0.0171075759922495,22
"Lat","51",0.0152209350877174,23
"Lat","55",0.0147591271663315,24
"Lon","215",0.0143197414427228,25
"Lon","171",0.0138202475216177,26
"Lon","217",0.0111350649777787,27
"Lon","219",0.00809382133894616,28
"Lon","221",0.00490110648529297,29
"Lat","57",0.00467274352972383,30
"Lon","223",0.00331220580358514,31
