"Cell","Key","Value","Improvement"
1,"Lat","53",5.19740659334985
1,"Lon","177",4.77682570661256
1,"Lon","175",3.93175975239905
1,"Lon","173",3.845444028911
1,"Lon","171",1.91388097322834
1,"Lat","51",0.767604527150695
2,"Lon","209",21.7137232706559
2,"Lon","211",21.2609939934964
2,"Lon","205",18.9696014517226
2,"Lon","207",18.8397695154245
2,"Lon","203",18.1673507483197
2,"Lon","213",17.0224382155702
2,"Lon","201",15.7825676938342
2,"Lon","199",13.9850383101916
2,"Lat","53",13.7196766114293
2,"Lon","215",13.6187651982905
2,"Lat","55",12.0916163798065
2,"Lon","217",11.266734740449
2,"Lon","197",10.7733502951633
2,"Lon","195",8.77509149546449
2,"Lon","219",8.17684850795877
2,"Lon","193",7.69456587730247
2,"Lat","51",5.5978535463264
2,"Lon","221",4.88990519214713
2,"Lon","191",4.51391434050493
2,"Lat","57",3.68617539216575
2,"Lon","223",3.02324832777731
2,"Lon","189",2.98878389970832
2,"Lon","185",2.21747279185774
2,"Lon","187",2.16792127452254
2,"Lon","183",1.42779736255216
2,"Lon","181",0.899570277907515
