"Cell","Key","Value","Var_explained","Rank"
1,"Lat","53",0.110928399122332,1
1,"Lon","177",0.110231946051383,2
2,"Lat","53",0.109410621245642,3
2,"Lon","191",0.109275724284206,4
2,"Lon","189",0.109182704208868,5
1,"Lon","175",0.108832574854247,6
1,"Lon","173",0.108689641942671,7
2,"Lon","203",0.107470612098186,8
2,"Lon","187",0.107386144411522,9
2,"Lon","201",0.107227153124219,10
3,"Lon","217",0.106851092491888,11
2,"Lon","199",0.10676188352985,12
2,"Lon","205",0.106735184811368,13
2,"Lon","197",0.106496915659148,14
2,"Lat","55",0.106370112923014,15
2,"Lon","193",0.106291570872664,16
2,"Lon","195",0.106256827677855,17
2,"Lat","51",0.10591251491155,18
1,"Lon","171",0.105491106145437,19
3,"Lon","223",0.105194686115848,20
3,"Lon","215",0.105119227153688,21
2,"Lat","57",0.10511712926846,22
2,"Lon","185",0.105117115093513,23
3,"Lon","219",0.105085967241785,24
3,"Lat","55",0.105072767324334,25
2,"Lon","207",0.105045143418342,26
3,"Lon","213",0.104927348899426,27
3,"Lon","211",0.104764243983536,28
3,"Lon","221",0.104579037732264,29
3,"Lat","57",0.104365619373265,30
3,"Lat","53",0.104018829114279,31
2,"Lon","183",0.103929843367514,32
2,"Lon","181",0.103772132037273,33
1,"Lat","51",0.103592951055176,34
