"Cell","Key","Value","Improvement"
1,"Lon","175",11.2959250202352
1,"Lon","187",11.0144058918377
1,"Lon","189",10.3827183462563
1,"Lon","177",9.90418385361045
1,"Lon","179",9.78595179701051
1,"Lon","185",8.69472575694181
1,"Lon","181",7.99196132867974
1,"Lon","191",7.56946542099058
1,"Lon","183",6.25184837526967
1,"Lat","55",6.14383468432607
1,"Lon","193",5.45617461714528
1,"Lon","173",5.44181491696918
1,"Lat","53",5.27363927677243
1,"Lon","195",4.76435818037817
1,"Lon","197",3.87372719507903
1,"Lon","199",3.42600750033489
1,"Lon","201",3.0318055800999
1,"Lat","57",2.84610566326728
1,"Lat","51",1.73569015258227
2,"Lon","211",6.248249875699
2,"Lon","215",5.35697616326684
2,"Lon","213",5.29654134662997
2,"Lat","57",5.0679395803852
2,"Lon","217",4.79051376944358
2,"Lon","209",4.63286268961997
2,"Lon","207",3.46874220551922
2,"Lat","55",1.77153935934598
2,"Lon","219",1.76694387782004
2,"Lon","205",1.74822553102672
2,"Lon","221",0.758050779338191
2,"Lat","53",0.378352345615212
2,"Lon","223",0.215619128635581
