"Cell","Key","Value","Var_explained","Rank"
1,"Lon","175",0.169346947360162,1
1,"Lon","187",0.168453462739644,2
1,"Lon","189",0.166448614578305,3
1,"Lon","177",0.164929843147036,4
1,"Lon","179",0.164554598577245,5
1,"Lon","185",0.161091268430336,6
1,"Lon","181",0.158860836657998,7
1,"Lon","191",0.157519920330568,8
1,"Lon","183",0.153338071044573,9
2,"Lon","211",0.153326650136724,10
1,"Lat","55",0.152995257495057,11
1,"Lon","193",0.150812763901573,12
1,"Lon","173",0.15076718912541,13
2,"Lon","215",0.150497928126739,14
2,"Lon","213",0.150306120275117,15
1,"Lat","53",0.150233433750003,16
2,"Lat","57",0.149580584630255,17
2,"Lon","217",0.148700091369203,18
1,"Lon","195",0.148617078833953,19
2,"Lon","209",0.148199738814007,20
1,"Lon","197",0.14579039670954,21
2,"Lon","207",0.14450505648498,22
1,"Lon","199",0.144369425197466,23
1,"Lon","201",0.143118308248103,24
1,"Lat","57",0.142528934372636,25
2,"Lat","55",0.139118478849611,26
2,"Lon","219",0.139103893723228,27
2,"Lon","205",0.139044485486649,28
1,"Lat","51",0.139004700737683,29
2,"Lon","221",0.135901871635526,30
2,"Lat","53",0.134696785810997,31
2,"Lon","223",0.13418030358314,32
